0,1,2,3,4
,2351.270 - 2366.529,2367.643 - 2382.180,2383.225 - 2396.977,24
,2453.362 - 2469.300,2470.049 - 2485.351,2486.629 - 2501.029,23*
K2166,1921.318 - 1934.583*,1935.543 - 1948.213*,1949.097 - 1961.128*,29*
,1989.978 - 2003.709,2004.701 - 2017.816,2018.708 - 2031.165,28
2166.016,2063.711 - 2077.942,2078.967 - 2092.559,2093.479 - 2106.392,27
,2143.087 - 2157.855,2158.914 - 2173.020,2173.983 - 2187.386,26
,2228.786 - 2244.133,2245.229 - 2259.888,2260.904 - 2274.835,25
,2321.596 - 2337.568,2338.704 - 2353.961,2355.035 - 2369.534,24
,2422.415 - 2439.061,2440.243 - 2456.145,2457.275 - 2472.388,23
K2148,1972.256 - 1986.385,1987.410 - 2000.926,2001.873 - 2014.734,28
,2045.340 - 2059.983,2061.032 - 2075.043,2076.014 - 2089.352,27
2147.646,,,,
,2124.020 - 2139.214,2140.304 - 2154.844,2155.863 - 2169.707,26
,2208.960 - 2224.749,2225.886 - 2240.997,2242.063 - 2256.446,25
,2300.945 - 2317.377,2318.557 - 2334.281,2335.367 - 2350.327,24
,2400.875 - 2418.003,2419.210 - 2435.596,2436.646 - 2452.223,23
L3426,2885.940 - 2902.683,2903.871 - 2919.712,2920.799 - 2935.691,20
,3037.854 - 3055.461,3056.731 - 3073.365,3074.541 - 3090.211,19
3425.891,,,,
,3206.635 - 3225.210,3226.534 - 3244.120,3245.341 - 3261.875,18
,3395.240 - 3414.897,3416.306 - 3434.906,3436.198 - 3453.699,17
,3607.370 - 3628.243,3629.729 - 3649.490,3650.871 - 3669.452,16
,3847.721 - 3869.972,3871.548 - 3892.612,3894.083 - 3913.894,15
,4122.322 - 4146.129,4147.812 - 4170.393,4171.934 - 4193.138,14
L3412,2873.364 - 2890.436,2891.668 - 2907.846,2908.970 - 2924.212,20
,3024.620 - 3042.587,3043.876 - 3060.906,3062.085 - 3078.125,19
3411.608,,,,
,3192.666 - 3211.623,3212.978 - 3230.946,3232.194 - 3249.120,18
,3380.448 - 3400.511,3401.945 - 3420.966,3422.283 - 3440.195,17
,3591.664 - 3612.964,3614.477 - 3634.674,3636.083 - 3655.103,16
,3830.969 - 3853.678,3855.297 - 3876.815,3878.317 - 3898.595,15
,4104.370 - 4128.693,4130.388 - 4153.433,4155.116 - 4177.202,14
L3377,2842.535 - 2860.486,2861.773 - 2878.771,2879.948 - 2896.011,20
,2992.253 - 3011.062,3012.416 - 3030.300,3031.542 - 3048.446,19
3376.965,,,,
,3158.504 - 3178.352,3179.771 - 3198.641,3199.953 - 3217.788,18
,3344.283 - 3365.286,3366.786 - 3386.758,3388.148 - 3407.025,17
,3553.239 - 3575.542,3577.130 - 3598.335,3599.810 - 3619.856,16
,3789.987 - 3813.759,3815.457 - 3838.059,3839.642 - 3861.016,15
,4060.512 - 4085.937,4087.728 - 4111.934,4113.628 - 4136.495,14
L3340,2958.407 - 2978.046,2979.463 - 2998.191,2999.490 - 3017.240,19
,3122.778 - 3143.499,3144.993 - 3164.757,3166.122 - 3184.854,18
3340.492,,,,
,3306.456 - 3328.382,3329.967 - 3350.842,3352.330 - 3372.157,17
,3513.062 - 3536.345,3538.014 - 3560.226,3561.772 - 3582.824,16
,3747.144 - 3771.966,3773.759 - 3797.451,3799.056 - 3821.502,15
,4014.595 - 4041.163,4043.047 - 4068.385,4070.157 - 4094.191,14
L3302,2922.857 - 2943.317,2944.820 - 2964.364,2965.707 - 2984.312,19
,3085.258 - 3106.844,3108.402 - 3129.038,3130.458 - 3150.092,18
3302.21,,,,
,3266.735 - 3289.569,3291.221 - 3313.059,3314.588 - 3335.359,17
,3470.871 - 3495.129,3496.877 - 3520.094,3521.679 - 3543.731,16
,3702.194 - 3728.020,3729.857 - 3754.581,3756.328 - 3779.836,15
,3966.417 - 3994.106,3996.046 - 4022.503,4024.366 - 4049.534,14
L3262,2885.632 - 2906.906,2908.446 - 2928.829,2930.266 - 2949.685,19
,3045.964 - 3068.406,3070.035 - 3091.545,3093.044 - 3113.551,18
3262.14,,,,
,3225.143 - 3248.895,3250.607 - 3273.370,3274.954 - 3296.657,17
,3426.699 - 3451.899,3453.711 - 3477.883,3479.581 - 3502.630,16
,3655.022 - 3681.910,3683.850 - 3709.611,3711.404 - 3735.980,15
,3915.904 - 3944.689,3946.699 - 3974.300,3976.391 - 4003.132,14
L3244,2869.299 - 2890.916,2892.491 - 2913.209,2914.655 - 2934.441,19
,3028.728 - 3051.534,3053.182 - 3075.059,3076.589 - 3097.463,18
3244.424,,,,
,3206.892 - 3231.026,3232.768 - 3255.920,3257.540 - 3279.640,17
,3407.284 - 3432.913,3434.756 - 3459.347,3461.072 - 3484.518,16
,3634.348 - 3661.656,3663.614 - 3689.825,3691.662 - 3716.677,15
,3893.747 - 3923.016,3925.093 - 3953.151,3955.117 - 3981.898,14
M4519,3640.138 - 3660.513,3661.549 - 3680.817,3681.749 - 3699.851,16
,3882.902 - 3904.627,3905.733 - 3926.278,3927.271 - 3946.576,15
4518.527,,,,
,4160.322 - 4183.588,4184.772 - 4206.776,4207.840 - 4228.516,14
,4480.379 - 4505.422,4506.696 - 4530.381,4531.526 - 4553.782,13
,4853.707 - 4880.817,4882.197 - 4907.838,4909.078 - 4933.175,12
,5294.786 - 5324.334*,5325.838 - 5353.789*,5355.140 - 5381.405*,11*
M4504,3627.740 - 3648.470,3649.520 - 3669.140,3670.090 - 3688.550,16
,3869.677 - 3891.365,3892.919 - 3913.403,3914.820 - 3934.041,15
4504.089,,,,
,4146.087 - 4169.288,4170.912 - 4192.932,4205.061 - 4205.061,14
,4465.003 - 4490.003,4491.783 - 4515.393,4517.037 - 4539.197,13
,4836.973 - 4864.033,4865.958 - 4891.523,4893.300 - 4917.292,12
,5276.402 - 5305.960,5308.360 - 5336.820*,5339.000 - 5364.215*,11*
M4461,3591.380 - 3613.090,3614.231 - 3634.468,3635.859 - 3654.913,16
,3830.813 - 3853.577,3855.211 - 3876.788,3878.284 - 3898.608,15
4461.195,,,,
,4104.462 - 4128.839,4130.590 - 4153.701,4155.372 - 4177.575,14
,4420.390 - 4447.070,4448.280 - 4473.155,4474.881 - 4498.316,13
,4788.411 - 4816.811,4818.835 - 4845.776,4847.645 - 4873.005,12
,5223.469 - 5254.419,5256.606 - 5285.949,5287.727 - 5314.153*,11*
M4416,3552.885 - 3575.236,3576.847 - 3598.102,3599.566 - 3619.651,16
,3790.060 - 3814.240,3815.343 - 3838.002,3839.576 - 3860.993,15
4415.885,,,,
,4060.860 - 4086.760,4087.883 - 4112.162,4113.838 - 4136.771,14
,4356.545 - 4397.782,4402.580 - 4429.140,4430.430 - 4455.580,13
,4737.189 - 4766.913,4769.063 - 4797.305,4799.268 - 4826.002,12
,5168.280 - 5201.180,5202.285 - 5233.142,5235.259 - 5264.410,11
M4368,3512.841 - 3536.170,3537.856 - 3560.104,3561.643 - 3582.734,16
,3747.081 - 3771.959,3773.752 - 3797.470,3799.128 - 3821.617,15
4368.182,,,,
,4014.774 - 4041.413,4043.326 - 4068.731,4070.499 - 4094.586,14
,4323.720 - 4352.790,4354.270 - 4382.030,4383.380 - 4409.760,13
,4683.789 - 4714.816,4717.028 - 4746.676,4748.730 - 4776.814,12
,5109.398 - 5143.373,5145.626 - 5177.891,5180.152 - 5210.712,11
M4318,3470.411 - 3494.721,3496.483 - 3519.755*,3521.322 - 3543.417*,16*
,3701.841 - 3727.757,3729.613 - 3754.403,3756.120 - 3779.684,15
4318.114,,,,
,3966.266 - 3994.030,3995.584 - 4022.534,4024.425 - 4049.663,14
,4271.920 - 4302.150,4303.700 - 4332.650,4334.060 - 4361.640,13
,4627.247 - 4659.592,4661.904 - 4692.846,4694.989 - 4724.347,12
,5047.643 - 5082.990,5085.270 - 5119.113,5121.574 - 5154.105,11
M4266,3426.620 - 3452.170*,3453.480 - 3477.990*,3479.190 - 3502.590*,16*
,3655.170 - 3682.410,3683.810 - 3709.950,3711.220 - 3736.180,15
4265.706,,,,
,3916.350 - 3945.520,3947.020 - 3975.010,3976.380 - 4003.110,14
,4217.680 - 4249.080,4250.690 - 4280.830,4282.290 - 4311.070,13
,4569.180 - 4603.170,4604.910 - 4637.540,4639.130 - 4670.280,12
,4984.480 - 5021.540,5023.440 - 5059.000,5060.730 - 5094.690,11
M4211,3606.250 - 3634.480,3635.930 - 3663.080,3664.400 - 3690.380,15
,3863.940 - 3894.170,3895.720 - 3924.800,3926.220 - 3954.050,14
4210.988,,,,
,4161.240 - 4193.790,4195.460 - 4226.760,4228.280 - 4258.240,13
,4508.050 - 4543.280,4545.090 - 4578.980,4580.630 - 4613.060,12
,4917.810 - 4956.220,4958.190 - 4995.130,4996.930 - 5032.280,11
M4187,3584.036 - 3612.418,3614.502 - 3641.789,3643.685 - 3669.790,15
,3840.080 - 3870.509,3872.699 - 3901.924,3903.970 - 3931.931,14
4186.838,,,,
,4077.305 - 4091.896,4170.740 - 4202.540,4204.090 - 4234.560,13
,4480.033 - 4515.518,4518.067 - 4552.122,4554.511 - 4587.093,12
,4887.287 - 4925.858,4928.522 - 4965.392,4968.412 - 5003.924,11
